scores,intervention
170,1
175,1
165,1
180,1
160,1
158,1
186,1
194,1
201,1
215,1
219,1
209,1
180,1
187,1
199,1
170,1
204,1
194,1
173,1
194,1
197,1
190,1
176,1
198,1
189,1
194,1
217,1
206,1
199,1
195,1
202,1
228,1
190,1
206,1
224,1
204,1
161,2
173,2
157,2
152,2
181,2
190,2
164,2
166,2
159,2
182,2
187,2
174,2
162,2
184,2
183,2
156,2
180,2
173,2
164,2
190,2
169,2
164,2
176,2
175,2
171,2
173,2
196,2
199,2
180,2
203,2
205,2
199,2
170,2
160,2
179,2
179,2
